City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,84.52,73,75,11.5,broken clouds
1,Kenora,CA,49.8167,-94.4337,83.37,44,20,11.5,few clouds
2,Khatanga,RU,71.9667,102.5,50.95,87,100,13.44,light rain
3,Tasiilaq,GL,65.6145,-37.6368,48.36,58,20,4.41,few clouds
4,Sambava,MG,-14.2667,50.1667,69.58,87,63,9.24,light rain
5,Okmulgee,US,35.6234,-95.9605,84.9,65,0,6.91,clear sky
6,Kahului,US,20.8947,-156.47,91.42,43,20,24.16,few clouds
7,Half Moon Bay,US,37.4636,-122.4286,79.61,77,100,14.97,overcast clouds
8,Bethel,US,41.3712,-73.414,86.36,47,3,1.99,clear sky
9,Cape Town,ZA,-33.9258,18.4232,48.9,92,20,4.61,fog
10,Hilo,US,19.7297,-155.09,90.28,76,100,11.5,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,72.16,76,10,16.13,light rain
12,Strezhevoy,RU,60.7333,77.5889,61.56,94,100,8.32,overcast clouds
13,Dingle,PH,10.9995,122.6711,76.21,89,100,4.65,overcast clouds
14,Hermanus,ZA,-34.4187,19.2345,46.8,71,81,6.24,light rain
15,Cidreira,BR,-30.1811,-50.2056,54.55,77,0,5.75,clear sky
16,Albany,US,42.6001,-73.9662,81.57,50,24,1.01,few clouds
17,Miles City,US,46.4083,-105.8406,99.57,15,40,14.97,scattered clouds
18,Provideniya,RU,64.3833,-173.3,53.35,65,98,3.36,overcast clouds
19,Adrar,MR,20.5022,-10.0711,93.33,32,44,9.84,scattered clouds
20,Blackfoot,US,43.1905,-112.345,93.88,8,1,10.63,clear sky
21,Bluff,NZ,-46.6,168.3333,46.76,79,99,15.86,overcast clouds
22,Cabra,ES,37.4725,-4.4421,78.85,56,0,6.78,clear sky
23,Lebu,CL,-37.6167,-73.65,49.32,86,95,8.97,overcast clouds
24,Eyl,SO,7.9803,49.8164,75.87,80,100,21.88,overcast clouds
25,Huarmey,PE,-10.0681,-78.1522,65.61,75,73,9.28,broken clouds
26,Praia,CV,14.9215,-23.5087,77.54,78,75,10.36,broken clouds
27,Sistranda,NO,63.7256,8.834,55.36,80,100,4.74,overcast clouds
28,Mount Gambier,AU,-37.8333,140.7667,45.46,89,100,13.78,light rain
29,Lensk,RU,60.7253,114.9278,62.47,88,60,2.59,broken clouds
30,Fortuna,US,40.5982,-124.1573,74.93,72,20,13.8,few clouds
31,Broome,US,42.2506,-75.833,82.71,54,75,9.22,broken clouds
32,Ondjiva,AO,-17.0667,15.7333,60.31,28,3,4.59,clear sky
33,Maniitsoq,GL,65.4167,-52.9,44.24,90,99,10.96,overcast clouds
34,Nurota,UZ,40.5614,65.6886,75.72,34,0,6.91,clear sky
35,Bredasdorp,ZA,-34.5322,20.0403,48.63,86,92,5.82,overcast clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,56,7.0,broken clouds
37,Mayumba,GA,-3.432,10.6554,70.5,92,85,4.94,overcast clouds
