City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Khatanga,RU,50.95,light rain,71.9667,102.5,"""Khatanga"""
4,Sambava,MG,69.58,light rain,-14.2667,50.1667,Melrose
7,Half Moon Bay,US,79.61,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
11,Rikitea,PF,72.16,light rain,-23.1203,-134.9692,People ThankYou
12,Strezhevoy,RU,61.56,overcast clouds,60.7333,77.5889,Sibiryachka
13,Dingle,PH,76.21,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
15,Cidreira,BR,54.55,clear sky,-30.1811,-50.2056,Hotel Castelo
22,Cabra,ES,78.85,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
24,Eyl,SO,75.87,overcast clouds,7.9803,49.8164,Amiin Hotel
25,Huarmey,PE,65.61,broken clouds,-10.0681,-78.1522,Hotel Miramar
26,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
27,Sistranda,NO,55.36,overcast clouds,63.7256,8.834,Hotell Frøya
29,Lensk,RU,62.47,broken clouds,60.7253,114.9278,ТинОрС
30,Fortuna,US,74.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
32,Ondjiva,AO,60.31,clear sky,-17.0667,15.7333,COMBUESA
34,Nurota,UZ,75.72,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
37,Mayumba,GA,70.5,overcast clouds,-3.432,10.6554,LIKWALE LODGE
39,Jamestown,US,76.05,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
40,Burgeo,CA,65.12,overcast clouds,47.6167,-57.6152,Gillett's Motel
41,Khasan,RU,72.14,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
44,Spirit River,CA,66.63,broken clouds,55.7833,-118.8361,Motel 49
45,Severo-Kurilsk,RU,53.87,overcast clouds,50.6789,156.125,Kak Doma
46,Skibbereen,IE,63.1,overcast clouds,51.55,-9.2667,The West Cork Hotel
47,Grindavik,IS,51.75,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
48,Zhaoyuan,CN,76.57,broken clouds,37.3592,120.3964,Super 8 Hotel Yantai Zhaoyuan Bus Terminal Branch
51,Lompoc,US,77.0,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
53,Solnechnyy,RU,65.32,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
54,Sao Jose Da Coroa Grande,BR,76.6,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
56,Zhezkazgan,KZ,64.71,few clouds,47.8043,67.7144,Hotel Zumrat
57,Mar Del Plata,AR,53.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
59,Camabatela,AO,60.66,clear sky,-8.1881,15.375,Comércio e Prestação de Serviços
60,Baruun-Urt,MN,60.22,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
61,Ribeira Grande,PT,74.59,few clouds,38.5167,-28.7,Quinta da Meia Eira
62,Barcelos,PT,75.34,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
64,Nikolskoye,RU,57.79,clear sky,59.7035,30.7861,Tourist House - Sablino
66,Yellowknife,CA,59.52,light intensity shower rain,62.456,-114.3525,The Explorer Hotel
67,Pitogo,PH,79.29,overcast clouds,13.7847,122.0881,Ricronald
68,Abha,SA,69.62,clear sky,18.2164,42.5053,Abha Hotel
73,Matara,LK,76.87,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
76,Dalaba,GN,62.28,light rain,10.7,-12.25,Hôtel Tangama
79,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Agulu,NG,71.91,overcast clouds,6.11,7.0724,San-Siro lodge
81,Luanda,AO,69.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
83,Tondano,ID,66.29,overcast clouds,1.3038,124.9112,Villa Bella
85,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
88,Nhulunbuy,AU,74.01,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
90,Buritis,BR,76.64,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
91,Carnarvon,AU,59.23,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
93,Caravelas,BR,72.91,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
94,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
97,Mocuba,MZ,62.13,scattered clouds,-16.8392,36.9856,Phama Lodge
98,Northam,GB,65.39,overcast clouds,51.0333,-4.2167,Durrant House Hotel
100,Sitka,US,58.89,mist,57.0531,-135.33,Westmark Sitka
101,East London,ZA,58.73,overcast clouds,-33.0153,27.9116,Tu Casa
102,Atuona,PF,76.82,few clouds,-9.8,-139.0333,Villa Enata
105,Plettenberg Bay,ZA,51.69,light rain,-34.0527,23.3716,Thanda Vista B&B
106,Sao Filipe,CV,77.38,overcast clouds,14.8961,-24.4956,Hotel Xaguate
110,Bulgan,MN,56.3,broken clouds,48.8125,103.5347,Unitel Булган салбар
112,Thompson,CA,69.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
115,Ponta Do Sol,PT,74.01,clear sky,32.6667,-17.1,Hotel do Campo
120,Port Alfred,ZA,56.71,overcast clouds,-33.5906,26.891,The Halyards Hotel
121,Busselton,AU,54.72,overcast clouds,-33.65,115.3333,Observatory Guest House
122,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
123,Pak Phanang,TH,79.07,overcast clouds,8.3511,100.202,Green Park Inn Hotel
124,Constitucion,CL,52.97,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
125,Mogocha,RU,59.7,overcast clouds,53.7333,119.7667,Yalta Inn
127,Sehithwa,BW,62.01,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
128,Pangnirtung,CA,60.8,light intensity shower rain,66.1451,-65.7125,Kilabuk Lodge
130,Lagoa,PT,73.4,clear sky,39.05,-27.9833,Casa Das Faias
131,Chepareria,KE,59.13,scattered clouds,1.3077,35.2039,Hamza Lodge
133,Rantauprapat,ID,73.58,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
138,Saint-Philippe,RE,71.11,light rain,-21.3585,55.7679,Le four à pain
140,Marawi,PH,68.92,overcast clouds,7.9986,124.2928,Derogongan Residence
144,Nouadhibou,MR,71.58,few clouds,20.931,-17.0347,El Medina
146,Sao Joao Da Barra,BR,69.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
150,Arraial Do Cabo,BR,67.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
